"(row, OceanActionID)",sdg,sdg_count,trg,trg_count,sdg-trg,trg-sdg
"(900, '20792')",['14'],1,['14'],1,[],[]
"(901, '20600')",['14'],1,['14'],1,[],[]
"(902, '20896')",['12' '14'],2,['12' '14'],2,[],[]
"(903, '16661')",['14' '15'],2,['14' '15'],2,[],[]
"(904, '15019')",['01' '12' '14'],3,['01' '12' '14'],3,[],[]
"(905, '18244')",['02' '03' '14'],3,['14'],1,['02' '03'],[]
"(906, '17058')",['14'],1,['14'],1,[],[]
"(907, '19879')",['14'],1,['14'],1,[],[]
"(908, '20580')",['07' '09' '14'],3,['14'],1,['07' '09'],[]
"(909, '20648')",['01' '02' '09' '14'],4,['14'],1,['01' '02' '09'],[]
"(910, '15928')",['14'],1,['14'],1,[],[]
"(911, '18319')",['05' '14' '15'],3,['05' '14' '15'],3,[],[]
"(912, '15749')",['01' '02' '06' '13' '14' '15'],6,['14'],1,['01' '02' '06' '13' '15'],[]
"(913, '21076')",['01' '05' '13' '14' '17'],5,['01' '05' '13' '14' '17'],5,[],[]
"(914, '21056')",['14'],1,['14'],1,[],[]
"(915, '21700')",['13' '14'],2,['13' '14'],2,[],[]
"(916, '20868')",['12' '14'],2,['12' '14'],2,[],[]
"(917, '16794')",['14'],1,['14'],1,[],[]
"(918, '18478')",['14'],1,['14'],1,[],[]
"(919, '18487')",['14'],1,['14'],1,[],[]
"(920, '14945')",['01' '02' '05' '06' '08' '13' '14'],7,['01' '02' '05' '06' '08' '13' '14'],7,[],[]
"(921, '20224')",['06' '14'],2,['06' '14'],2,[],[]
"(922, '18181')",['03' '14'],2,['14'],1,['03'],[]
"(923, '21620')",['14'],1,['14'],1,[],[]
"(924, '20184')",['03' '07' '09' '12' '14'],5,['14'],1,['03' '07' '09' '12'],[]
"(925, '14351')",['01' '03' '04' '06' '11' '12' '14' '17'],8,['01' '03' '04' '06' '11' '12' '14' '17'],8,[],[]
"(926, '18688')",['12' '14' '15'],3,['14'],1,['12' '15'],[]
"(927, '17486')",['07' '09' '14'],3,['09' '14'],2,['07'],[]
"(928, '20284')",['14'],1,['14'],1,[],[]
"(929, '20776')",['14'],1,['14'],1,[],[]
"(930, '14870')",['13' '14' '15' '16' '17'],5,['13' '14' '16' '17'],4,['15'],[]
"(931, '19964')",['05' '08' '10' '14'],4,['14'],1,['05' '08' '10'],[]
"(932, '15401')","['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '14' '15'
 '16']",16,"['01' '02' '03' '04' '05' '06' '07' '08' '09' '10' '11' '12' '13' '14' '15'
 '16']",16,[],[]
"(933, '20660')",['14' '17'],2,['14'],1,['17'],[]
"(934, '16738')",['03' '12' '13' '14'],4,['03' '12' '13' '14'],4,[],[]
"(935, '16466')",['02' '12' '14'],3,['02' '12' '14'],3,[],[]
"(936, '20516')",['01' '02' '03' '05' '08' '12' '14' '17'],8,['14'],1,['01' '02' '03' '05' '08' '12' '17'],[]
"(937, '19779')",['01' '14'],2,['01' '14'],2,[],[]
"(938, '14811')",['14'],1,['14'],1,[],[]
"(939, '21128')",['14'],1,['14'],1,[],[]
"(940, '17959')",['14'],1,['14'],1,[],[]
"(941, '20916')",['14'],1,['14'],1,[],[]
"(942, '17230')",['14'],1,['14'],1,[],[]
"(943, '15842')",['14'],1,['14'],1,[],[]
"(944, '21084')",['14'],1,['14'],1,[],[]
"(945, '15680')",['14'],1,['14'],1,[],[]
"(946, '18343')",['14'],1,['14'],1,[],[]
"(947, '16643')",['01' '02' '03' '04' '05' '06' '08' '11' '12' '13' '14' '15' '16'],13,['14'],1,['01' '02' '03' '04' '05' '06' '08' '11' '12' '13' '15' '16'],[]
"(948, '19023')",['14'],1,['14'],1,[],[]
"(949, '18172')",['13' '14' '15'],3,['13' '14' '15'],3,[],[]
"(950, '14087')",['04' '13' '14' '15' '17'],5,['04' '13' '14' '15' '17'],5,[],[]
"(951, '16350')",['14'],1,['14'],1,[],[]
"(952, '19889')",['14' '15'],2,['14' '15'],2,[],[]
"(953, '16178')",['01' '02' '03' '05' '08' '10' '12' '13' '14' '16'],10,['14'],1,['01' '02' '03' '05' '08' '10' '12' '13' '16'],[]
"(954, '15698')",['14'],1,['14'],1,[],[]
"(955, '15635')",['14'],1,['14'],1,[],[]
"(956, '16619')",['02' '13' '14'],3,['02' '13' '14'],3,[],[]
"(957, '18133')",['01' '02' '05' '08' '12' '13' '14'],7,['14'],1,['01' '02' '05' '08' '12' '13'],[]
"(958, '18412')",['09' '14' '17'],3,['14' '17'],2,['09'],[]
"(959, '15488')",['02' '03' '06' '07' '09' '11' '12' '13' '14' '15' '17'],11,['02' '03' '06' '07' '09' '11' '12' '13' '14' '15' '17'],11,[],[]
"(960, '19534')",['06' '08' '09' '11' '12' '13' '14' '15' '17'],9,['06' '08' '09' '11' '12' '13' '14' '15' '17'],9,[],[]
"(961, '16006')",['14'],1,['14'],1,[],[]
"(962, '17386')",['01' '06' '10' '14' '16' '17'],6,['14'],1,['01' '06' '10' '16' '17'],[]
"(963, '19959')",['03' '04' '10' '12' '14'],5,['14'],1,['03' '04' '10' '12'],[]
"(964, '14327')",['01' '02' '03' '12' '13' '14' '16' '17'],8,['01' '02' '03' '12' '13' '14' '16' '17'],8,[],[]
"(965, '19899')",['14'],1,['14'],1,[],[]
"(966, '15871')",['14'],1,['14'],1,[],[]
"(967, '15449')",['11' '14'],2,['11' '14'],2,[],[]
"(968, '15940')",['02' '03' '04' '05' '08' '09' '11' '12' '13' '14' '16' '17'],12,['02' '03' '04' '05' '08' '09' '11' '12' '13' '14' '16' '17'],12,[],[]
"(969, '20564')",['14'],1,['14'],1,[],[]
"(970, '20552')",['14'],1,['14'],1,[],[]
"(971, '16458')",['14' '15' '17'],3,['14' '15' '17'],3,[],[]
"(972, '16604')",['03' '06' '14'],3,['03' '06' '14'],3,[],[]
"(973, '20264')",['14'],1,['14'],1,[],[]
"(974, '20259')",['14'],1,['14'],1,[],[]
"(975, '18013')",['14'],1,['14'],1,[],[]
"(976, '14560')",['04' '14'],2,['14'],1,['04'],[]
"(977, '17824')",['14'],1,['14'],1,[],[]
"(978, '17920')",['14'],1,['14'],1,[],[]
"(979, '17866')",['14'],1,['14'],1,[],[]
"(980, '17839')",['12' '14'],2,['12' '14'],2,[],[]
"(981, '19489')",['14' '15'],2,['14' '15'],2,[],[]
"(982, '19063')",['06' '07' '08' '09' '13' '14' '17'],7,['14'],1,['06' '07' '08' '09' '13' '17'],[]
